T_low_K,T_high_K,X_low,X_high,original_count,isothermal_added_count,combined_count,was_empty_before,is_empty_after,newly_occupied_by_isothermal,under_target_before,under_target_after
800.0,850.0,0.0,0.05,11091,38285,49376,False,False,False,False,False
800.0,850.0,0.05,0.1,0,1287,1287,True,False,True,True,False
800.0,850.0,0.1,0.15000000000000002,0,969,969,True,False,True,True,False
800.0,850.0,0.15000000000000002,0.2,0,806,806,True,False,True,True,False
800.0,850.0,0.2,0.25,0,661,661,True,False,True,True,False
800.0,850.0,0.25,0.30000000000000004,0,593,593,True,False,True,True,False
800.0,850.0,0.30000000000000004,0.35000000000000003,0,545,545,True,False,True,True,False
800.0,850.0,0.35000000000000003,0.4,0,570,570,True,False,True,True,False
800.0,850.0,0.4,0.45,0,505,505,True,False,True,True,False
800.0,850.0,0.45,0.5,0,407,407,True,False,True,True,False
800.0,850.0,0.5,0.55,0,423,423,True,False,True,True,False
800.0,850.0,0.55,0.6000000000000001,0,420,420,True,False,True,True,False
800.0,850.0,0.6000000000000001,0.65,0,328,328,True,False,True,True,False
800.0,850.0,0.65,0.7000000000000001,0,307,307,True,False,True,True,False
800.0,850.0,0.7000000000000001,0.75,0,331,331,True,False,True,True,False
800.0,850.0,0.75,0.8,0,353,353,True,False,True,True,False
800.0,850.0,0.8,0.8500000000000001,0,289,289,True,False,True,True,False
800.0,850.0,0.8500000000000001,0.9,0,318,318,True,False,True,True,False
800.0,850.0,0.9,0.9500000000000001,0,389,389,True,False,True,True,False
800.0,850.0,0.9500000000000001,1.0,0,382,382,True,False,True,True,False
850.0,900.0,0.0,0.05,26356,21854,48210,False,False,False,False,False
850.0,900.0,0.05,0.1,0,997,997,True,False,True,True,False
850.0,900.0,0.1,0.15000000000000002,0,653,653,True,False,True,True,False
850.0,900.0,0.15000000000000002,0.2,0,563,563,True,False,True,True,False
850.0,900.0,0.2,0.25,0,485,485,True,False,True,True,False
850.0,900.0,0.25,0.30000000000000004,0,410,410,True,False,True,True,False
850.0,900.0,0.30000000000000004,0.35000000000000003,0,357,357,True,False,True,True,False
850.0,900.0,0.35000000000000003,0.4,0,280,280,True,False,True,True,False
850.0,900.0,0.4,0.45,0,256,256,True,False,True,True,False
850.0,900.0,0.45,0.5,0,197,197,True,False,True,True,True
850.0,900.0,0.5,0.55,0,214,214,True,False,True,True,False
850.0,900.0,0.55,0.6000000000000001,0,212,212,True,False,True,True,False
850.0,900.0,0.6000000000000001,0.65,0,208,208,True,False,True,True,False
850.0,900.0,0.65,0.7000000000000001,0,191,191,True,False,True,True,True
850.0,900.0,0.7000000000000001,0.75,0,200,200,True,False,True,True,False
850.0,900.0,0.75,0.8,0,233,233,True,False,True,True,False
850.0,900.0,0.8,0.8500000000000001,0,181,181,True,False,True,True,True
850.0,900.0,0.8500000000000001,0.9,0,192,192,True,False,True,True,True
850.0,900.0,0.9,0.9500000000000001,0,203,203,True,False,True,True,False
850.0,900.0,0.9500000000000001,1.0,0,244,244,True,False,True,True,False
900.0,950.0,0.0,0.05,37962,77551,115513,False,False,False,False,False
900.0,950.0,0.05,0.1,96,3499,3595,False,False,False,True,False
900.0,950.0,0.1,0.15000000000000002,8,2182,2190,False,False,False,True,False
900.0,950.0,0.15000000000000002,0.2,0,1621,1621,True,False,True,True,False
900.0,950.0,0.2,0.25,0,1389,1389,True,False,True,True,False
900.0,950.0,0.25,0.30000000000000004,0,1182,1182,True,False,True,True,False
900.0,950.0,0.30000000000000004,0.35000000000000003,0,1065,1065,True,False,True,True,False
900.0,950.0,0.35000000000000003,0.4,0,871,871,True,False,True,True,False
900.0,950.0,0.4,0.45,0,722,722,True,False,True,True,False
900.0,950.0,0.45,0.5,0,683,683,True,False,True,True,False
900.0,950.0,0.5,0.55,0,650,650,True,False,True,True,False
900.0,950.0,0.55,0.6000000000000001,0,548,548,True,False,True,True,False
900.0,950.0,0.6000000000000001,0.65,0,445,445,True,False,True,True,False
900.0,950.0,0.65,0.7000000000000001,0,481,481,True,False,True,True,False
900.0,950.0,0.7000000000000001,0.75,0,443,443,True,False,True,True,False
900.0,950.0,0.75,0.8,0,428,428,True,False,True,True,False
900.0,950.0,0.8,0.8500000000000001,0,450,450,True,False,True,True,False
900.0,950.0,0.8500000000000001,0.9,0,434,434,True,False,True,True,False
900.0,950.0,0.9,0.9500000000000001,0,512,512,True,False,True,True,False
900.0,950.0,0.9500000000000001,1.0,0,645,645,True,False,True,True,False
950.0,1000.0,0.0,0.05,93910,71484,165394,False,False,False,False,False
950.0,1000.0,0.05,0.1,7516,615,8131,False,False,False,False,False
950.0,1000.0,0.1,0.15000000000000002,1876,435,2311,False,False,False,False,False
950.0,1000.0,0.15000000000000002,0.2,621,396,1017,False,False,False,False,False
950.0,1000.0,0.2,0.25,149,366,515,False,False,False,True,False
950.0,1000.0,0.25,0.30000000000000004,14,283,297,False,False,False,True,False
950.0,1000.0,0.30000000000000004,0.35000000000000003,0,263,263,True,False,True,True,False
950.0,1000.0,0.35000000000000003,0.4,0,297,297,True,False,True,True,False
950.0,1000.0,0.4,0.45,0,285,285,True,False,True,True,False
950.0,1000.0,0.45,0.5,0,305,305,True,False,True,True,False
950.0,1000.0,0.5,0.55,0,326,326,True,False,True,True,False
950.0,1000.0,0.55,0.6000000000000001,0,266,266,True,False,True,True,False
950.0,1000.0,0.6000000000000001,0.65,0,286,286,True,False,True,True,False
950.0,1000.0,0.65,0.7000000000000001,0,237,237,True,False,True,True,False
950.0,1000.0,0.7000000000000001,0.75,0,235,235,True,False,True,True,False
950.0,1000.0,0.75,0.8,0,238,238,True,False,True,True,False
950.0,1000.0,0.8,0.8500000000000001,0,186,186,True,False,True,True,True
950.0,1000.0,0.8500000000000001,0.9,0,185,185,True,False,True,True,True
950.0,1000.0,0.9,0.9500000000000001,0,272,272,True,False,True,True,False
950.0,1000.0,0.9500000000000001,1.0,0,143,143,True,False,True,True,True
1000.0,1050.0,0.0,0.05,123582,43989,167571,False,False,False,False,False
1000.0,1050.0,0.05,0.1,49825,257,50082,False,False,False,False,False
1000.0,1050.0,0.1,0.15000000000000002,28254,116,28370,False,False,False,False,False
1000.0,1050.0,0.15000000000000002,0.2,15554,89,15643,False,False,False,False,False
1000.0,1050.0,0.2,0.25,7920,53,7973,False,False,False,False,False
1000.0,1050.0,0.25,0.30000000000000004,3233,12,3245,False,False,False,False,False
1000.0,1050.0,0.30000000000000004,0.35000000000000003,1212,6,1218,False,False,False,False,False
1000.0,1050.0,0.35000000000000003,0.4,453,8,461,False,False,False,False,False
1000.0,1050.0,0.4,0.45,95,9,104,False,False,False,True,True
1000.0,1050.0,0.45,0.5,22,9,31,False,False,False,True,True
1000.0,1050.0,0.5,0.55,1,28,29,False,False,False,True,True
1000.0,1050.0,0.55,0.6000000000000001,0,114,114,True,False,True,True,True
1000.0,1050.0,0.6000000000000001,0.65,0,161,161,True,False,True,True,True
1000.0,1050.0,0.65,0.7000000000000001,0,186,186,True,False,True,True,True
1000.0,1050.0,0.7000000000000001,0.75,0,207,207,True,False,True,True,False
1000.0,1050.0,0.75,0.8,0,218,218,True,False,True,True,False
1000.0,1050.0,0.8,0.8500000000000001,0,193,193,True,False,True,True,True
1000.0,1050.0,0.8500000000000001,0.9,0,186,186,True,False,True,True,True
1000.0,1050.0,0.9,0.9500000000000001,0,254,254,True,False,True,True,False
1000.0,1050.0,0.9500000000000001,1.0,0,154,154,True,False,True,True,True
1050.0,1100.0,0.0,0.05,71113,25774,96887,False,False,False,False,False
1050.0,1100.0,0.05,0.1,30699,173,30872,False,False,False,False,False
1050.0,1100.0,0.1,0.15000000000000002,18004,109,18113,False,False,False,False,False
1050.0,1100.0,0.15000000000000002,0.2,16897,76,16973,False,False,False,False,False
1050.0,1100.0,0.2,0.25,16707,38,16745,False,False,False,False,False
1050.0,1100.0,0.25,0.30000000000000004,14662,45,14707,False,False,False,False,False
1050.0,1100.0,0.30000000000000004,0.35000000000000003,11589,36,11625,False,False,False,False,False
1050.0,1100.0,0.35000000000000003,0.4,8109,40,8149,False,False,False,False,False
1050.0,1100.0,0.4,0.45,4987,23,5010,False,False,False,False,False
1050.0,1100.0,0.45,0.5,2804,6,2810,False,False,False,False,False
1050.0,1100.0,0.5,0.55,1285,12,1297,False,False,False,False,False
1050.0,1100.0,0.55,0.6000000000000001,406,4,410,False,False,False,False,False
1050.0,1100.0,0.6000000000000001,0.65,72,5,77,False,False,False,True,True
1050.0,1100.0,0.65,0.7000000000000001,8,16,24,False,False,False,True,True
1050.0,1100.0,0.7000000000000001,0.75,0,55,55,True,False,True,True,True
1050.0,1100.0,0.75,0.8,0,168,168,True,False,True,True,True
1050.0,1100.0,0.8,0.8500000000000001,0,177,177,True,False,True,True,True
1050.0,1100.0,0.8500000000000001,0.9,0,192,192,True,False,True,True,True
1050.0,1100.0,0.9,0.9500000000000001,0,266,266,True,False,True,True,False
1050.0,1100.0,0.9500000000000001,1.0,0,136,136,True,False,True,True,True
1100.0,1150.0,0.0,0.05,39884,14532,54416,False,False,False,False,False
1100.0,1150.0,0.05,0.1,13694,2682,16376,False,False,False,False,False
1100.0,1150.0,0.1,0.15000000000000002,2947,365,3312,False,False,False,False,False
1100.0,1150.0,0.15000000000000002,0.2,1274,73,1347,False,False,False,False,False
1100.0,1150.0,0.2,0.25,1208,59,1267,False,False,False,False,False
1100.0,1150.0,0.25,0.30000000000000004,1717,64,1781,False,False,False,False,False
1100.0,1150.0,0.30000000000000004,0.35000000000000003,2318,59,2377,False,False,False,False,False
1100.0,1150.0,0.35000000000000003,0.4,3415,53,3468,False,False,False,False,False
1100.0,1150.0,0.4,0.45,4183,61,4244,False,False,False,False,False
1100.0,1150.0,0.45,0.5,4697,55,4752,False,False,False,False,False
1100.0,1150.0,0.5,0.55,4798,40,4838,False,False,False,False,False
1100.0,1150.0,0.55,0.6000000000000001,3765,43,3808,False,False,False,False,False
1100.0,1150.0,0.6000000000000001,0.65,2748,39,2787,False,False,False,False,False
1100.0,1150.0,0.65,0.7000000000000001,1484,41,1525,False,False,False,False,False
1100.0,1150.0,0.7000000000000001,0.75,540,43,583,False,False,False,False,False
1100.0,1150.0,0.75,0.8,117,50,167,False,False,False,True,True
1100.0,1150.0,0.8,0.8500000000000001,8,62,70,False,False,False,True,True
1100.0,1150.0,0.8500000000000001,0.9,0,122,122,True,False,True,True,True
1100.0,1150.0,0.9,0.9500000000000001,0,229,229,True,False,True,True,False
1100.0,1150.0,0.9500000000000001,1.0,0,161,161,True,False,True,True,True
1150.0,1200.0,0.0,0.05,7656,4460,12116,False,False,False,False,False
1150.0,1200.0,0.05,0.1,2992,1632,4624,False,False,False,False,False
1150.0,1200.0,0.1,0.15000000000000002,986,403,1389,False,False,False,False,False
1150.0,1200.0,0.15000000000000002,0.2,1038,134,1172,False,False,False,False,False
1150.0,1200.0,0.2,0.25,883,26,909,False,False,False,False,False
1150.0,1200.0,0.25,0.30000000000000004,422,15,437,False,False,False,False,False
1150.0,1200.0,0.30000000000000004,0.35000000000000003,150,11,161,False,False,False,True,True
1150.0,1200.0,0.35000000000000003,0.4,25,11,36,False,False,False,True,True
1150.0,1200.0,0.4,0.45,6,12,18,False,False,False,True,True
1150.0,1200.0,0.45,0.5,49,10,59,False,False,False,True,True
1150.0,1200.0,0.5,0.55,229,14,243,False,False,False,False,False
1150.0,1200.0,0.55,0.6000000000000001,623,13,636,False,False,False,False,False
1150.0,1200.0,0.6000000000000001,0.65,1178,11,1189,False,False,False,False,False
1150.0,1200.0,0.65,0.7000000000000001,1764,11,1775,False,False,False,False,False
1150.0,1200.0,0.7000000000000001,0.75,2119,12,2131,False,False,False,False,False
1150.0,1200.0,0.75,0.8,1779,13,1792,False,False,False,False,False
1150.0,1200.0,0.8,0.8500000000000001,973,10,983,False,False,False,False,False
1150.0,1200.0,0.8500000000000001,0.9,245,2,247,False,False,False,False,False
1150.0,1200.0,0.9,0.9500000000000001,4,79,83,False,False,False,True,True
