T_low_K,T_high_K,log10_tau_low,log10_tau_high,original_count,isothermal_added_count,combined_count,was_empty_before,is_empty_after,newly_occupied_by_isothermal,under_target_before,under_target_after
800.0,850.0,-5.0,-4.75,0,2383,2383,True,False,True,True,False
800.0,850.0,-4.75,-4.5,0,1934,1934,True,False,True,True,False
800.0,850.0,-4.5,-4.25,0,1317,1317,True,False,True,True,False
800.0,850.0,-4.25,-4.0,0,960,960,True,False,True,True,False
800.0,850.0,-4.0,-3.75,0,1349,1349,True,False,True,True,False
800.0,850.0,-3.75,-3.5,1,1948,1949,False,False,False,True,False
800.0,850.0,-3.5,-3.25,18,2770,2788,False,False,False,True,False
800.0,850.0,-3.25,-3.0,110,3312,3422,False,False,False,True,False
800.0,850.0,-3.0,-2.75,280,3151,3431,False,False,False,False,False
800.0,850.0,-2.75,-2.5,464,1702,2166,False,False,False,False,False
800.0,850.0,-2.5,-2.25,834,351,1185,False,False,False,False,False
800.0,850.0,-2.25,-2.0,1469,636,2105,False,False,False,False,False
800.0,850.0,-2.0,-1.75,2219,1056,3275,False,False,False,False,False
800.0,850.0,-1.75,-1.5,2654,1599,4253,False,False,False,False,False
800.0,850.0,-1.5,-1.25,1963,1976,3939,False,False,False,False,False
800.0,850.0,-1.25,-1.0,759,2639,3398,False,False,False,False,False
800.0,850.0,-1.0,-0.75,167,3693,3860,False,False,False,True,False
800.0,850.0,-0.75,-0.5,71,5640,5711,False,False,False,True,False
800.0,850.0,-0.5,-0.25,60,6700,6760,False,False,False,True,False
800.0,850.0,-0.25,0.0,22,3052,3074,False,False,False,True,False
850.0,900.0,-5.0,-4.75,0,1211,1211,True,False,True,True,False
850.0,900.0,-4.75,-4.5,0,908,908,True,False,True,True,False
850.0,900.0,-4.5,-4.25,0,1976,1976,True,False,True,True,False
850.0,900.0,-4.25,-4.0,0,2796,2796,True,False,True,True,False
850.0,900.0,-4.0,-3.75,4,3881,3885,False,False,False,True,False
850.0,900.0,-3.75,-3.5,125,4204,4329,False,False,False,True,False
850.0,900.0,-3.5,-3.25,426,2303,2729,False,False,False,False,False
850.0,900.0,-3.25,-3.0,803,44,847,False,False,False,False,False
850.0,900.0,-3.0,-2.75,1357,79,1436,False,False,False,False,False
850.0,900.0,-2.75,-2.5,2333,148,2481,False,False,False,False,False
850.0,900.0,-2.5,-2.25,3664,235,3899,False,False,False,False,False
850.0,900.0,-2.25,-2.0,4758,329,5087,False,False,False,False,False
850.0,900.0,-2.0,-1.75,4555,267,4822,False,False,False,False,False
850.0,900.0,-1.75,-1.5,3167,182,3349,False,False,False,False,False
850.0,900.0,-1.5,-1.25,1935,222,2157,False,False,False,False,False
850.0,900.0,-1.25,-1.0,1369,498,1867,False,False,False,False,False
850.0,900.0,-1.0,-0.75,907,920,1827,False,False,False,False,False
850.0,900.0,-0.75,-0.5,463,2041,2504,False,False,False,False,False
850.0,900.0,-0.5,-0.25,382,3858,4240,False,False,False,False,False
850.0,900.0,-0.25,0.0,108,2028,2136,False,False,False,True,False
900.0,950.0,-5.0,-4.75,0,2328,2328,True,False,True,True,False
900.0,950.0,-4.75,-4.5,0,5202,5202,True,False,True,True,False
900.0,950.0,-4.5,-4.25,4,8368,8372,False,False,False,True,False
900.0,950.0,-4.25,-4.0,89,11930,12019,False,False,False,True,False
900.0,950.0,-4.0,-3.75,330,14822,15152,False,False,False,False,False
900.0,950.0,-3.75,-3.5,702,12688,13390,False,False,False,False,False
900.0,950.0,-3.5,-3.25,1274,3844,5118,False,False,False,False,False
900.0,950.0,-3.25,-3.0,2183,590,2773,False,False,False,False,False
900.0,950.0,-3.0,-2.75,3359,974,4333,False,False,False,False,False
900.0,950.0,-2.75,-2.5,4093,1387,5480,False,False,False,False,False
900.0,950.0,-2.5,-2.25,3345,1427,4772,False,False,False,False,False
900.0,950.0,-2.25,-2.0,1973,812,2785,False,False,False,False,False
900.0,950.0,-2.0,-1.75,1586,709,2295,False,False,False,False,False
900.0,950.0,-1.75,-1.5,2016,809,2825,False,False,False,False,False
900.0,950.0,-1.5,-1.25,2741,1386,4127,False,False,False,False,False
900.0,950.0,-1.25,-1.0,3720,1925,5645,False,False,False,False,False
900.0,950.0,-1.0,-0.75,4048,3509,7557,False,False,False,False,False
900.0,950.0,-0.75,-0.5,3975,6280,10255,False,False,False,False,False
900.0,950.0,-0.5,-0.25,1935,10396,12331,False,False,False,False,False
900.0,950.0,-0.25,0.0,693,6415,7108,False,False,False,False,False
950.0,1000.0,-5.0,-4.75,0,8002,8002,True,False,True,True,False
950.0,1000.0,-4.75,-4.5,29,13642,13671,False,False,False,True,False
950.0,1000.0,-4.5,-4.25,208,20226,20434,False,False,False,False,False
950.0,1000.0,-4.25,-4.0,524,19515,20039,False,False,False,False,False
950.0,1000.0,-4.0,-3.75,1091,7989,9080,False,False,False,False,False
950.0,1000.0,-3.75,-3.5,2135,1197,3332,False,False,False,False,False
950.0,1000.0,-3.5,-3.25,3600,1690,5290,False,False,False,False,False
950.0,1000.0,-3.25,-3.0,4646,1719,6365,False,False,False,False,False
950.0,1000.0,-3.0,-2.75,3858,1270,5128,False,False,False,False,False
950.0,1000.0,-2.75,-2.5,1800,1058,2858,False,False,False,False,False
950.0,1000.0,-2.5,-2.25,1584,795,2379,False,False,False,False,False
950.0,1000.0,-2.25,-2.0,2909,0,2909,False,False,False,False,False
950.0,1000.0,-2.0,-1.75,5259,0,5259,False,False,False,False,False
950.0,1000.0,-1.75,-1.5,8269,0,8269,False,False,False,False,False
950.0,1000.0,-1.5,-1.25,12288,0,12288,False,False,False,False,False
950.0,1000.0,-1.25,-1.0,15857,0,15857,False,False,False,False,False
950.0,1000.0,-1.0,-0.75,15871,0,15871,False,False,False,False,False
950.0,1000.0,-0.75,-0.5,13104,0,13104,False,False,False,False,False
950.0,1000.0,-0.5,-0.25,7969,0,7969,False,False,False,False,False
950.0,1000.0,-0.25,0.0,3085,0,3085,False,False,False,False,False
1000.0,1050.0,-5.0,-4.75,65,11236,11301,False,False,False,True,False
1000.0,1050.0,-4.75,-4.5,242,16308,16550,False,False,False,False,False
1000.0,1050.0,-4.5,-4.25,551,14962,15513,False,False,False,False,False
1000.0,1050.0,-4.25,-4.0,1173,3743,4916,False,False,False,False,False
1000.0,1050.0,-4.0,-3.75,2298,0,2298,False,False,False,False,False
1000.0,1050.0,-3.75,-3.5,3623,0,3623,False,False,False,False,False
1000.0,1050.0,-3.5,-3.25,4019,0,4019,False,False,False,False,False
1000.0,1050.0,-3.25,-3.0,2629,0,2629,False,False,False,False,False
1000.0,1050.0,-3.0,-2.75,3068,0,3068,False,False,False,False,False
1000.0,1050.0,-2.75,-2.5,6286,0,6286,False,False,False,False,False
1000.0,1050.0,-2.5,-2.25,11212,0,11212,False,False,False,False,False
1000.0,1050.0,-2.25,-2.0,16879,0,16879,False,False,False,False,False
1000.0,1050.0,-2.0,-1.75,19091,0,19091,False,False,False,False,False
1000.0,1050.0,-1.75,-1.5,19181,0,19181,False,False,False,False,False
1000.0,1050.0,-1.5,-1.25,22911,0,22911,False,False,False,False,False
1000.0,1050.0,-1.25,-1.0,30824,0,30824,False,False,False,False,False
1000.0,1050.0,-1.0,-0.75,36311,0,36311,False,False,False,False,False
1000.0,1050.0,-0.75,-0.5,29303,0,29303,False,False,False,False,False
1000.0,1050.0,-0.5,-0.25,15335,0,15335,False,False,False,False,False
1000.0,1050.0,-0.25,0.0,5150,0,5150,False,False,False,False,False
1050.0,1100.0,-5.0,-4.75,198,8336,8534,False,False,False,True,False
1050.0,1100.0,-4.75,-4.5,428,11180,11608,False,False,False,False,False
1050.0,1100.0,-4.5,-4.25,922,7835,8757,False,False,False,False,False
1050.0,1100.0,-4.25,-4.0,1836,0,1836,False,False,False,False,False
1050.0,1100.0,-4.0,-3.75,2894,0,2894,False,False,False,False,False
1050.0,1100.0,-3.75,-3.5,3180,0,3180,False,False,False,False,False
1050.0,1100.0,-3.5,-3.25,5851,0,5851,False,False,False,False,False
1050.0,1100.0,-3.25,-3.0,12588,0,12588,False,False,False,False,False
1050.0,1100.0,-3.0,-2.75,20772,0,20772,False,False,False,False,False
1050.0,1100.0,-2.75,-2.5,21895,0,21895,False,False,False,False,False
1050.0,1100.0,-2.5,-2.25,15479,0,15479,False,False,False,False,False
1050.0,1100.0,-2.25,-2.0,7635,0,7635,False,False,False,False,False
1050.0,1100.0,-2.0,-1.75,4281,0,4281,False,False,False,False,False
1050.0,1100.0,-1.75,-1.5,6806,0,6806,False,False,False,False,False
1050.0,1100.0,-1.5,-1.25,13473,0,13473,False,False,False,False,False
1050.0,1100.0,-1.25,-1.0,21305,0,21305,False,False,False,False,False
1050.0,1100.0,-1.0,-0.75,24844,0,24844,False,False,False,False,False
1050.0,1100.0,-0.75,-0.5,20133,0,20133,False,False,False,False,False
1050.0,1100.0,-0.5,-0.25,10106,0,10106,False,False,False,False,False
1050.0,1100.0,-0.25,0.0,2716,0,2716,False,False,False,False,False
1100.0,1150.0,-5.0,-4.75,335,1062,1397,False,False,False,False,False
