T_low_K,T_high_K,X_low,X_high,original_count,isothermal_added_count,combined_count,was_empty_before,is_empty_after,newly_occupied_by_isothermal,under_target_before,under_target_after
800.0,850.0,0.0,0.05,11091,3207,14298,False,False,False,False,False
800.0,850.0,0.05,0.1,0,140,140,True,False,True,True,True
800.0,850.0,0.1,0.15000000000000002,0,93,93,True,False,True,True,True
800.0,850.0,0.15000000000000002,0.2,0,77,77,True,False,True,True,True
800.0,850.0,0.2,0.25,0,72,72,True,False,True,True,True
800.0,850.0,0.25,0.30000000000000004,0,65,65,True,False,True,True,True
800.0,850.0,0.30000000000000004,0.35000000000000003,0,45,45,True,False,True,True,True
800.0,850.0,0.35000000000000003,0.4,0,48,48,True,False,True,True,True
800.0,850.0,0.4,0.45,0,40,40,True,False,True,True,True
800.0,850.0,0.45,0.5,0,31,31,True,False,True,True,True
800.0,850.0,0.5,0.55,0,34,34,True,False,True,True,True
800.0,850.0,0.55,0.6000000000000001,0,24,24,True,False,True,True,True
800.0,850.0,0.6000000000000001,0.65,0,25,25,True,False,True,True,True
800.0,850.0,0.65,0.7000000000000001,0,28,28,True,False,True,True,True
800.0,850.0,0.7000000000000001,0.75,0,32,32,True,False,True,True,True
800.0,850.0,0.75,0.8,0,41,41,True,False,True,True,True
800.0,850.0,0.8,0.8500000000000001,0,42,42,True,False,True,True,True
800.0,850.0,0.8500000000000001,0.9,0,28,28,True,False,True,True,True
800.0,850.0,0.9,0.9500000000000001,0,14,14,True,False,True,True,True
800.0,850.0,0.9500000000000001,1.0,0,0,0,True,True,False,True,True
850.0,900.0,0.0,0.05,26356,3518,29874,False,False,False,False,False
850.0,900.0,0.05,0.1,0,47,47,True,False,True,True,True
850.0,900.0,0.1,0.15000000000000002,0,32,32,True,False,True,True,True
850.0,900.0,0.15000000000000002,0.2,0,32,32,True,False,True,True,True
850.0,900.0,0.2,0.25,0,30,30,True,False,True,True,True
850.0,900.0,0.25,0.30000000000000004,0,38,38,True,False,True,True,True
850.0,900.0,0.30000000000000004,0.35000000000000003,0,37,37,True,False,True,True,True
850.0,900.0,0.35000000000000003,0.4,0,32,32,True,False,True,True,True
850.0,900.0,0.4,0.45,0,39,39,True,False,True,True,True
850.0,900.0,0.45,0.5,0,35,35,True,False,True,True,True
850.0,900.0,0.5,0.55,0,29,29,True,False,True,True,True
850.0,900.0,0.55,0.6000000000000001,0,29,29,True,False,True,True,True
850.0,900.0,0.6000000000000001,0.65,0,18,18,True,False,True,True,True
850.0,900.0,0.65,0.7000000000000001,0,18,18,True,False,True,True,True
850.0,900.0,0.7000000000000001,0.75,0,10,10,True,False,True,True,True
850.0,900.0,0.75,0.8,0,16,16,True,False,True,True,True
850.0,900.0,0.8,0.8500000000000001,0,10,10,True,False,True,True,True
850.0,900.0,0.8500000000000001,0.9,0,19,19,True,False,True,True,True
850.0,900.0,0.9,0.9500000000000001,0,16,16,True,False,True,True,True
850.0,900.0,0.9500000000000001,1.0,0,1,1,True,False,True,True,True
900.0,950.0,0.0,0.05,37962,4576,42538,False,False,False,False,False
900.0,950.0,0.05,0.1,96,45,141,False,False,False,True,True
900.0,950.0,0.1,0.15000000000000002,8,31,39,False,False,False,True,True
900.0,950.0,0.15000000000000002,0.2,0,28,28,True,False,True,True,True
900.0,950.0,0.2,0.25,0,27,27,True,False,True,True,True
900.0,950.0,0.25,0.30000000000000004,0,22,22,True,False,True,True,True
900.0,950.0,0.30000000000000004,0.35000000000000003,0,16,16,True,False,True,True,True
900.0,950.0,0.35000000000000003,0.4,0,11,11,True,False,True,True,True
900.0,950.0,0.4,0.45,0,7,7,True,False,True,True,True
900.0,950.0,0.45,0.5,0,11,11,True,False,True,True,True
900.0,950.0,0.5,0.55,0,12,12,True,False,True,True,True
900.0,950.0,0.55,0.6000000000000001,0,5,5,True,False,True,True,True
900.0,950.0,0.6000000000000001,0.65,0,16,16,True,False,True,True,True
900.0,950.0,0.65,0.7000000000000001,0,10,10,True,False,True,True,True
900.0,950.0,0.7000000000000001,0.75,0,11,11,True,False,True,True,True
900.0,950.0,0.75,0.8,0,14,14,True,False,True,True,True
900.0,950.0,0.8,0.8500000000000001,0,12,12,True,False,True,True,True
900.0,950.0,0.8500000000000001,0.9,0,14,14,True,False,True,True,True
900.0,950.0,0.9,0.9500000000000001,0,13,13,True,False,True,True,True
900.0,950.0,0.9500000000000001,1.0,0,4,4,True,False,True,True,True
950.0,1000.0,0.0,0.05,93910,3806,97716,False,False,False,False,False
950.0,1000.0,0.05,0.1,7516,6,7522,False,False,False,False,False
950.0,1000.0,0.1,0.15000000000000002,1876,1,1877,False,False,False,False,False
950.0,1000.0,0.15000000000000002,0.2,621,1,622,False,False,False,False,False
950.0,1000.0,0.2,0.25,149,0,149,False,False,False,True,True
950.0,1000.0,0.25,0.30000000000000004,14,3,17,False,False,False,True,True
950.0,1000.0,0.30000000000000004,0.35000000000000003,0,5,5,True,False,True,True,True
950.0,1000.0,0.35000000000000003,0.4,0,10,10,True,False,True,True,True
950.0,1000.0,0.4,0.45,0,13,13,True,False,True,True,True
950.0,1000.0,0.45,0.5,0,9,9,True,False,True,True,True
950.0,1000.0,0.5,0.55,0,10,10,True,False,True,True,True
950.0,1000.0,0.55,0.6000000000000001,0,11,11,True,False,True,True,True
950.0,1000.0,0.6000000000000001,0.65,0,6,6,True,False,True,True,True
950.0,1000.0,0.65,0.7000000000000001,0,6,6,True,False,True,True,True
950.0,1000.0,0.7000000000000001,0.75,0,16,16,True,False,True,True,True
950.0,1000.0,0.75,0.8,0,15,15,True,False,True,True,True
950.0,1000.0,0.8,0.8500000000000001,0,14,14,True,False,True,True,True
950.0,1000.0,0.8500000000000001,0.9,0,7,7,True,False,True,True,True
950.0,1000.0,0.9,0.9500000000000001,0,16,16,True,False,True,True,True
950.0,1000.0,0.9500000000000001,1.0,0,6,6,True,False,True,True,True
1000.0,1050.0,0.0,0.05,123582,1782,125364,False,False,False,False,False
1000.0,1050.0,0.05,0.1,49825,0,49825,False,False,False,False,False
1000.0,1050.0,0.1,0.15000000000000002,28254,0,28254,False,False,False,False,False
1000.0,1050.0,0.15000000000000002,0.2,15554,0,15554,False,False,False,False,False
1000.0,1050.0,0.2,0.25,7920,0,7920,False,False,False,False,False
1000.0,1050.0,0.25,0.30000000000000004,3233,0,3233,False,False,False,False,False
1000.0,1050.0,0.30000000000000004,0.35000000000000003,1212,0,1212,False,False,False,False,False
1000.0,1050.0,0.35000000000000003,0.4,453,0,453,False,False,False,False,False
1000.0,1050.0,0.4,0.45,95,0,95,False,False,False,True,True
1000.0,1050.0,0.45,0.5,22,0,22,False,False,False,True,True
1000.0,1050.0,0.5,0.55,1,1,2,False,False,False,True,True
1000.0,1050.0,0.55,0.6000000000000001,0,9,9,True,False,True,True,True
1000.0,1050.0,0.6000000000000001,0.65,0,8,8,True,False,True,True,True
1000.0,1050.0,0.65,0.7000000000000001,0,11,11,True,False,True,True,True
1000.0,1050.0,0.7000000000000001,0.75,0,10,10,True,False,True,True,True
1000.0,1050.0,0.75,0.8,0,12,12,True,False,True,True,True
1000.0,1050.0,0.8,0.8500000000000001,0,14,14,True,False,True,True,True
1000.0,1050.0,0.8500000000000001,0.9,0,12,12,True,False,True,True,True
1000.0,1050.0,0.9,0.9500000000000001,0,15,15,True,False,True,True,True
1000.0,1050.0,0.9500000000000001,1.0,0,7,7,True,False,True,True,True
1050.0,1100.0,0.0,0.05,71113,1280,72393,False,False,False,False,False
1050.0,1100.0,0.05,0.1,30699,0,30699,False,False,False,False,False
1050.0,1100.0,0.1,0.15000000000000002,18004,0,18004,False,False,False,False,False
1050.0,1100.0,0.15000000000000002,0.2,16897,0,16897,False,False,False,False,False
1050.0,1100.0,0.2,0.25,16707,0,16707,False,False,False,False,False
1050.0,1100.0,0.25,0.30000000000000004,14662,0,14662,False,False,False,False,False
1050.0,1100.0,0.30000000000000004,0.35000000000000003,11589,0,11589,False,False,False,False,False
1050.0,1100.0,0.35000000000000003,0.4,8109,2,8111,False,False,False,False,False
1050.0,1100.0,0.4,0.45,4987,0,4987,False,False,False,False,False
1050.0,1100.0,0.45,0.5,2804,0,2804,False,False,False,False,False
1050.0,1100.0,0.5,0.55,1285,0,1285,False,False,False,False,False
1050.0,1100.0,0.55,0.6000000000000001,406,0,406,False,False,False,False,False
1050.0,1100.0,0.6000000000000001,0.65,72,0,72,False,False,False,True,True
1050.0,1100.0,0.65,0.7000000000000001,8,2,10,False,False,False,True,True
1050.0,1100.0,0.7000000000000001,0.75,0,7,7,True,False,True,True,True
1050.0,1100.0,0.75,0.8,0,11,11,True,False,True,True,True
1050.0,1100.0,0.8,0.8500000000000001,0,8,8,True,False,True,True,True
1050.0,1100.0,0.8500000000000001,0.9,0,14,14,True,False,True,True,True
1050.0,1100.0,0.9,0.9500000000000001,0,16,16,True,False,True,True,True
1050.0,1100.0,0.9500000000000001,1.0,0,7,7,True,False,True,True,True
1100.0,1150.0,0.0,0.05,39884,1836,41720,False,False,False,False,False
1100.0,1150.0,0.05,0.1,13694,309,14003,False,False,False,False,False
1100.0,1150.0,0.1,0.15000000000000002,2947,31,2978,False,False,False,False,False
1100.0,1150.0,0.15000000000000002,0.2,1274,13,1287,False,False,False,False,False
1100.0,1150.0,0.2,0.25,1208,14,1222,False,False,False,False,False
1100.0,1150.0,0.25,0.30000000000000004,1717,14,1731,False,False,False,False,False
1100.0,1150.0,0.30000000000000004,0.35000000000000003,2318,12,2330,False,False,False,False,False
1100.0,1150.0,0.35000000000000003,0.4,3415,12,3427,False,False,False,False,False
1100.0,1150.0,0.4,0.45,4183,14,4197,False,False,False,False,False
1100.0,1150.0,0.45,0.5,4697,14,4711,False,False,False,False,False
1100.0,1150.0,0.5,0.55,4798,13,4811,False,False,False,False,False
1100.0,1150.0,0.55,0.6000000000000001,3765,13,3778,False,False,False,False,False
