T_low_K,T_high_K,log10_tau_low,log10_tau_high,original_count,isothermal_added_count,combined_count,was_empty_before,is_empty_after,newly_occupied_by_isothermal,under_target_before,under_target_after
800.0,850.0,-5.0,-4.75,0,271,271,True,False,True,True,False
800.0,850.0,-4.75,-4.5,0,346,346,True,False,True,True,False
800.0,850.0,-4.5,-4.25,0,487,487,True,False,True,True,False
800.0,850.0,-4.25,-4.0,0,563,563,True,False,True,True,False
800.0,850.0,-4.0,-3.75,0,602,602,True,False,True,True,False
800.0,850.0,-3.75,-3.5,1,498,499,False,False,False,True,False
800.0,850.0,-3.5,-3.25,18,194,212,False,False,False,True,False
800.0,850.0,-3.25,-3.0,110,0,110,False,False,False,True,True
800.0,850.0,-3.0,-2.75,280,3,283,False,False,False,False,False
800.0,850.0,-2.75,-2.5,464,8,472,False,False,False,False,False
800.0,850.0,-2.5,-2.25,834,8,842,False,False,False,False,False
800.0,850.0,-2.25,-2.0,1469,22,1491,False,False,False,False,False
800.0,850.0,-2.0,-1.75,2219,32,2251,False,False,False,False,False
800.0,850.0,-1.75,-1.5,2654,49,2703,False,False,False,False,False
800.0,850.0,-1.5,-1.25,1963,50,2013,False,False,False,False,False
800.0,850.0,-1.25,-1.0,759,40,799,False,False,False,False,False
800.0,850.0,-1.0,-0.75,167,49,216,False,False,False,True,False
800.0,850.0,-0.75,-0.5,71,169,240,False,False,False,True,False
800.0,850.0,-0.5,-0.25,60,415,475,False,False,False,True,False
800.0,850.0,-0.25,0.0,22,280,302,False,False,False,True,False
850.0,900.0,-5.0,-4.75,0,457,457,True,False,True,True,False
850.0,900.0,-4.75,-4.5,0,766,766,True,False,True,True,False
850.0,900.0,-4.5,-4.25,0,1206,1206,True,False,True,True,False
850.0,900.0,-4.25,-4.0,0,1067,1067,True,False,True,True,False
850.0,900.0,-4.0,-3.75,4,510,514,False,False,False,True,False
850.0,900.0,-3.75,-3.5,125,0,125,False,False,False,True,True
850.0,900.0,-3.5,-3.25,426,0,426,False,False,False,False,False
850.0,900.0,-3.25,-3.0,803,0,803,False,False,False,False,False
850.0,900.0,-3.0,-2.75,1357,0,1357,False,False,False,False,False
850.0,900.0,-2.75,-2.5,2333,0,2333,False,False,False,False,False
850.0,900.0,-2.5,-2.25,3664,0,3664,False,False,False,False,False
850.0,900.0,-2.25,-2.0,4758,0,4758,False,False,False,False,False
850.0,900.0,-2.0,-1.75,4555,0,4555,False,False,False,False,False
850.0,900.0,-1.75,-1.5,3167,0,3167,False,False,False,False,False
850.0,900.0,-1.5,-1.25,1935,0,1935,False,False,False,False,False
850.0,900.0,-1.25,-1.0,1369,0,1369,False,False,False,False,False
850.0,900.0,-1.0,-0.75,907,0,907,False,False,False,False,False
850.0,900.0,-0.75,-0.5,463,0,463,False,False,False,False,False
850.0,900.0,-0.5,-0.25,382,0,382,False,False,False,False,False
850.0,900.0,-0.25,0.0,108,0,108,False,False,False,True,True
900.0,950.0,-5.0,-4.75,0,1571,1571,True,False,True,True,False
