CaseID,case_outcome,has_trajectory,has_state_probe,pfr_hit_target,native_pfr_failed,no_suitable_anchor,used_probe,sample_kinds,final_design_kinds,fallback_statuses,native_failure_reasons,target_T_K,target_conversion,target_tau_s,target_log10_tau_s
0,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1386.6321269003674,0.1316703129280358,0.0024256439693947,-2.6151729435660083
1,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,973.2923430064692,0.915148737845011,1.1215662104485208e-05,-4.950175083219074
2,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1305.0025249831378,0.2468522079242393,0.0001289426565303,-3.8896033865169906
3,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,835.2564899157733,0.6578336965106428,8.785350449316221e-05,-4.056240909732878
4,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1276.0141544602811,0.2365678783971816,0.0265076424565739,-1.5766288959421224
5,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,861.2241325061768,0.9087908047856764,1.9147571232917852e-05,-4.717886306135915
6,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,965.4782330570742,0.729293070952408,1.21811099568562e-05,-4.914313136483543
7,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,947.0944595942274,0.824019071739167,2.9874049521659884e-05,-4.524705903418362
8,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,942.4337199795992,0.7427577089937404,1.586007062571416e-05,-4.799694883078336
9,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,867.8425614535809,0.7037324385810644,4.123859247986616e-05,-4.384696166100912
10,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,960.8040390210226,0.8356617290340365,1.1385251168141122e-05,-4.94365738404449
11,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1379.806632003747,0.2191333520365879,0.0001379455428848,-3.8602923273109875
12,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1331.4639383601025,0.2752150072576478,0.0005221041169256,-3.282242882251799
13,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,905.422541773878,0.7699452353734523,2.1207875136472843e-05,-4.673502842220477
14,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,820.9280879516155,0.8905758182518184,3.34659644988531e-05,-4.475396653986536
15,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,991.2929425388576,0.6628029290540144,1.459518818449641e-05,-4.835790301021189
16,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,889.5197274535894,0.8401775932358578,6.673250533916342e-05,-4.175662570120767
17,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1370.603008242324,0.1616960267815739,9.237108568650028e-05,-4.034463951853104
18,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,807.8681544726714,0.9778050905652343,1.4287720029580717e-05,-4.8450370684498925
19,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,832.5451864348724,0.8218265879480169,0.0001036112267952,-3.9845931840595106
20,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1278.7694097077474,0.1838627525465563,0.0023450550382127,-2.629846959980212
21,PFR missed → no probe/unknown,True,False,False,False,False,False,trajectory,isothermal_pfr_hit_target,,,1258.3145614759997,0.1166366738919168,0.0001603652063676,-3.794889852521198
22,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,918.211506009102,0.9439470301009716,1.4175302624116103e-05,-4.8484676607185975
23,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1294.1629092860967,0.0542240260122343,0.0117013154124396,-1.9317653139587525
24,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1345.3197719762102,0.1289771628472954,0.0006086195832056,-3.2156540777069016
25,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,865.1544273970649,0.6730056338058785,1.4981218583143242e-05,-4.8244528593728315
26,Native PFR failed → state probe,False,True,False,True,False,True,state_probe,anchored_state_probe_after_native_pfr_failure,used_after_native_pfr_failure,T exceeded cap 1600.0 K,1263.6681278329345,0.2888887055544183,0.0009649470929861,-3.0154964979039667
27,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,877.0965317450464,0.8604140697605909,1.2443662484044317e-05,-4.905051776999608
28,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,934.2179882060736,0.9951465239468962,1.1091927250114323e-05,-4.954992987541482
29,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,902.514514606446,0.8554195071058348,2.398629993229362e-05,-4.620036740065553
30,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1373.660163716413,0.282601374941878,0.0270306110265651,-1.5681441369699314
31,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,838.362938943319,0.71537124061957,2.2312880519799803e-05,-4.651444360101595
32,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,987.8235031245276,0.7966761904722081,1.2390424273486286e-05,-4.906913822237402
33,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,974.399947137572,0.8569545540586114,1.7101273367288896e-05,-4.766971550672315
34,PFR missed → no probe/unknown,True,False,False,False,False,False,trajectory,isothermal_pfr_hit_target,,,1303.3593574725091,0.1811433770414442,0.0015178795651332,-2.818762685800908
35,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,833.529552994296,0.7639186769584194,0.0001947314431262,-3.7105639176444996
36,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1377.655900400132,0.0805237755691632,0.0071375012305527,-2.146453803870831
37,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1312.95788760297,0.0745466513559222,8.654334020943612e-05,-4.062766346870921
38,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,964.2855747370048,0.9874463771190496,1.3439670775199914e-05,-4.8716113698435946
39,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,895.9938131133094,0.7589661785075441,3.490057297038079e-05,-4.457167443074286
40,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,943.6236464697868,0.6854863982275129,1.0400626819688018e-05,-4.982940486073494
41,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,818.9514651149511,0.9182548962300644,8.072431818465031e-05,-4.092995614442043
