source_group,source_file,T_K,conversion_proxy,tau_s,log10_tau_s,P_Pa,steam_to_ethane,sample_kind,iso_final_design_kind
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1469.6624635718763,0.10573612374879093,2.2753911252410856e-06,-5.642943940134838,294770.26518434286,0.0578457294031977,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1376.1916219396517,0.012174118380995802,1.5173263196891398e-06,-5.818921008797945,216948.70088249445,0.4913718895986676,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1583.634631340392,0.1132247229158263,5.819774737887839e-07,-6.235093824969629,331779.60589528084,0.7276783520355821,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1247.3728295555338,0.09778297184960782,0.000306305778985066,-3.5138448094041705,316607.0142760873,0.2253901287913322,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1353.8939164066687,0.005527421586096204,1.635764031627082e-06,-5.786279345624081,152944.9298977852,0.525476592592895,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1353.0644252477214,0.0993692470668398,1.4412831802380067e-05,-4.8412506815509095,332431.66748434305,0.5835848972201347,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1413.7377440650016,0.06043897902470663,2.6908103571939976e-06,-5.570116909343797,168994.77522820234,0.3489369386807084,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,978.3381405891852,2.6360898447430614e-06,2.1954634491554996e-05,-4.658473788786062,215042.58271306756,0.8939385320991278,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1477.8283276734874,0.5851864138634995,0.029820237642852063,-1.5254888998981793,152650.32276511192,0.7656672699376941,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1586.019105641171,0.06737185148957592,3.0767248086701117e-07,-6.511911346593206,276164.3582955003,0.0603188015520572,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1255.3528414294124,0.11511636151668325,0.0004487514151439714,-3.347994168857638,189493.621699512,0.0807558363303542,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1471.1158116534352,0.18902372825292812,6.197341648500204e-06,-5.2077945613025625,230898.57045561075,0.877806294709444,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,859.0699631907046,0.8886911871595868,4.450037977173194e-05,-4.351636282680556,167822.62232154608,0.7513829888775945,state_probe,anchored_state_probe_after_pfr_miss
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1256.1877619242296,0.009918102313913768,5.884103752312384e-06,-5.230319678116585,251147.44175225496,0.2066057650372386,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1286.665145396255,0.05169843557910425,1.8906412536744753e-05,-4.723390870060406,211526.16012841463,0.6321041565388441,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,977.02431071084,2.3844797691907615e-08,9.301017016184944e-06,-5.031469561083878,302291.7443886399,0.256076174788177,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1057.620726809837,3.7090908159287395e-06,1.6009269317330663e-05,-4.795628489360706,193895.33046633005,0.7469868855550885,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1427.1125757554546,0.005124865106412857,5.243877986186503e-07,-6.2803474219671545,168383.28875601292,0.1472247187048196,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1577.0538448076695,0.19861064356305114,1.410443801441371e-06,-5.850644213450575,331126.331537962,0.5309492684900761,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1496.3097653491425,0.34300280338269395,7.455522042931344e-05,-4.127521941422708,258983.97080600265,0.6806845581158996,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1483.6685373121873,0.26489142962907264,1.0775941976129891e-05,-4.96754475577008,188680.2103370428,0.5655636191368103,trajectory,isothermal_pfr_hit_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1332.4750094115734,0.06465573529094115,1.0694047143100368e-05,-4.970857905709474,235899.82762932777,0.3821510011330247,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1344.4543253444135,0.00013237818744415986,3.7655483801136464e-07,-6.424171768171146,167232.38099366426,0.8915183376520872,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,906.5588307473809,0.0,0.0,-300.0,340905.6117758155,0.8347932668402791,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1595.5266573792323,0.23348212511698385,1.7153172775933601e-06,-5.765655537916404,308904.09648418427,0.7928967466577888,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1470.4898282838983,0.08984599863437615,1.8622827613730833e-06,-5.729954376855911,186220.7897007465,0.334224977530539,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,853.6004939302802,0.0,0.0,-300.0,161294.34891045094,0.398944279178977,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1072.03431640286,2.9356876274366783e-06,7.82017535487894e-06,-5.106783508474365,280456.33882284164,0.0314218988642096,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1412.771229618229,0.13374712486808837,8.206944932156583e-06,-5.085818480642888,174176.7555475235,0.6002795659005642,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1384.853379256092,0.06544854058892646,4.22214553104462e-06,-5.374466801288819,242244.48092281815,0.779428830370307,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,965.780524634756,7.318479045004267e-09,7.243733025909773e-06,-5.14003756436444,201086.22387051585,0.3855718653649091,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1508.7038194481283,0.007875718781201413,2.0251803577891136e-07,-6.693536293484075,270110.47042906284,0.0693534202873706,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1531.25879119616,0.13698873351719865,1.766378730271378e-06,-5.752916173446699,151575.77898353338,0.6917961649596691,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1110.1813706522807,0.0005150221544669709,4.0063620432444406e-05,-4.397249807344315,276771.48655056953,0.5042727114632726,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1325.890094959177,0.17697232068905344,0.0002013157476722075,-3.6961222516406824,234097.901545465,0.464751691557467,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1289.7851006453857,0.0006731837172665456,1.7569327102957948e-06,-5.755244871462498,169886.1064389348,0.8500958560034633,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1237.33464312274,0.12312656317012305,0.0003097537264010188,-3.508983460268557,153534.67389941216,0.97536445222795,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1302.9499977687374,0.06235041736642477,1.7229288369402386e-05,-4.763732660080944,315391.3674876094,0.7832705918699503,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1437.284131217748,0.13063347925137736,5.220296998520677e-06,-5.2823047879652805,206139.46095108983,0.5014116717502475,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1127.2053835401312,0.4568953266932676,0.0035890008115583767,-2.445026443462446,235842.0517295599,0.9681845223531128,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1363.0882218386978,0.06745720838324287,6.2882656546649e-06,-5.2014691193353775,206786.33749485016,0.991602380760014,trajectory,isothermal_pfr_hit_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1470.4898282838983,0.0004721648115134647,1.0358463481615611e-07,-6.9847046607051855,186220.7897007465,0.334224977530539,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1523.8984797894957,0.03072448422064611,4.62457990234596e-07,-6.3349277125205115,242638.37970793247,0.6444348813965917,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1328.5499489773065,0.4401530103284951,6.339714241772086e-05,-4.197930317200039,200465.1302471757,0.5607124892994761,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1255.7503442186862,0.03955425389751044,2.9003114863994418e-05,-4.53755535742518,328819.59918886423,0.5379422390833497,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1039.93439713493,2.8015644892853686e-07,6.01277961594486e-06,-5.220924713888255,238827.52116769552,0.2410262729972601,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,995.1986216241494,0.867310543888064,1.5914109042591373e-05,-4.798217670503073,227215.0022909045,0.7750841239467263,state_probe,anchored_state_probe_after_pfr_miss
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1417.6407531369478,0.4536194875327426,0.009707312785196086,-2.012900976485268,315692.1707093716,0.8607337912544608,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1273.3434007829055,0.13421257982673518,0.00018404891278620098,-3.7350667436742455,222523.39962869883,0.827232607640326,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1505.5786496493963,0.2521366280250098,1.6617789344567015e-05,-4.779426750666966,156826.79507881403,0.2863435791805386,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1289.0179411321878,0.024472836043483603,8.586274213603437e-06,-5.0661952458876565,249899.2409557104,0.3472569556906819,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1465.6188911153004,0.008546183543145958,5.835788787765121e-07,-6.233900434730614,161463.3072167635,0.8181641092523932,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1317.5618943478912,0.0,0.0,-300.0,155122.12831526995,0.533240957185626,trajectory,isothermal_pfr_hit_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1303.4548371983692,0.00794544160311006,3.7061711666958795e-06,-5.431074526993676,188067.05288589,0.8847734564915299,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,995.3086360730232,2.0216016838325856e-07,1.9908848419103743e-05,-4.7009538599973375,228818.6063989997,0.4705480448901653,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1408.0913209263235,0.0018282233011341908,3.9793183993762473e-07,-6.40019131002177,281285.8669087291,0.474998040124774,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1359.7206819755957,0.00127666841625107,7.627240492064789e-07,-6.117632559795886,181936.08187139037,0.5170037485659122,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1457.151765488088,0.00215518192120856,2.2527769781340796e-07,-6.647281800712884,238675.79624056816,0.1884133499115705,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1433.5712380008772,0.006178807401841402,6.557348345916287e-07,-6.183271744701516,154991.42985790968,0.5277436720207334,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,981.6395259043202,4.223543015324793e-08,1.1850664960322018e-05,-4.926257279991752,236434.3762397766,0.2104649087414145,trajectory,isothermal_pfr_missed_target
