variable,full_min,full_p01,full_p99,full_max,off_n,off_below_full_min_frac,off_above_full_max_frac,off_outside_full_minmax_frac,off_outside_full_p01p99_frac
tau [ms],0.0,0.0,717.8017203523742,2003.896779615654,250000,1.0,0.0,1.0,1.0
Heat absorption [MW/m3],-4.879579717898135,8.503051996073994e-05,389.18240395019046,14077.493271827805,250000,0.040964,0.0,0.040964,0.110452
Y_C2H6,0.0010191359059224484,0.1341120372710058,0.8999994295346888,0.9000000000217394,250000,3.2e-05,0.046436,0.046468,0.057504
P [bar],1.5001656059175728,1.5203102286905057,3.477509969845413,3.499869188293816,250000,0.00982,0.019712,0.029532,0.041276
T [K],823.2502062112093,840.620476157437,1209.5518125647159,1422.4326146943276,250000,0.003564,7.2e-05,0.003636,0.02188
Y_C2H4,-4.32752189714735e-08,0.0,0.3898395406878033,0.5680761407044191,250000,0.0,0.000444,0.000444,0.013608
Y_C3H8,-9.604509695778745e-16,0.0,0.0014430929620153586,0.00237962788955525,250000,0.0,0.001412,0.001412,0.01194
Y_C3H6,-2.4045297568755062e-15,0.0,0.010123593636970539,0.01811178685313225,250000,0.0,0.000984,0.000984,0.01104
Y_C2H2,-1.4687894997651422e-18,0.0,0.00598625912038948,0.18809498184496817,250000,0.0,4e-06,4e-06,0.010112
Wall source [MW/m3],0.0,0.0,24.555070794031412,32.64953653261712,250000,0.0,0.0,0.0,0.0
